PassengerId,Survived,Pclass,Sex,Age,Fare,FareLog,SibSp,Parch,FamilySize,FamilySizeBin,IsAlone,HasCabin,TicketGroupSize,AgeMissing,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mrs
1,0,3,0,22.0,7.25,2.1102132003465894,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,1,38.0,71.2833,4.2805931204649,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,1,3,1,26.0,7.925,2.188856327665703,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,1,1,1,35.0,53.1,3.990834185852436,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5,0,3,0,35.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,3,0,30.0,8.4583,2.246892662898172,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,1,0,54.0,51.8625,3.967694202798607,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,0,3,0,2.0,21.075,3.0944457464900235,3,1,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,1,3,1,27.0,11.1333,2.495953738718064,0,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10,1,2,1,14.0,30.0708,3.436268471383741,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,3,1,4.0,16.7,2.8735646395797834,1,1,3,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0
12,1,1,1,58.0,26.55,3.3160025355989236,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13,0,3,0,20.0,8.05,2.2027647577118348,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,0,3,0,39.0,31.275,3.4742929367327062,1,5,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,3,1,14.0,7.8542,2.180891922715322,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16,1,2,1,55.0,16.0,2.833213344056216,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,0,3,0,2.0,29.125,3.405355391810819,4,1,6,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18,1,2,0,30.0,13.0,2.6390573296152584,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,3,1,31.0,18.0,2.9444389791664403,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20,1,3,1,35.0,7.225,2.1071782966514356,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,0,2,0,35.0,26.0,3.295836866004329,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1,2,0,34.0,13.0,2.6390573296152584,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,1,3,1,15.0,8.0292,2.2004637699272855,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,1,1,0,28.0,35.5,3.597312260588446,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,0,3,1,8.0,21.075,3.0944457464900235,3,1,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26,1,3,1,38.0,31.3875,3.4777725458882283,1,5,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,0,3,0,30.0,7.225,2.1071782966514356,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,19.0,263.0,5.575949103146316,3,2,6,2,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29,1,3,1,21.0,7.8792,2.1837114628556327,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,3,0,30.0,7.8958,2.1855792552411137,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
